Id,Item,Calories,Total Fat,Carbohydrates (G),Protein
84,Spicy Southwest Salad w/ Chick-fil-A® Filet,840,59,40,38
85,Spicy Southwest Salad w/ Spicy Filet,860,60,44,37
86,Spicy Southwest Salad w/ Grilled Filet (Warm),690,49,29,35
87,Spicy Southwest Salad w/ No Chicken,590,47,27,14
88,Grilled Market Salad w/ Grilled Filet (Cold),540,31,41,28
89,Grilled Market Salad w/ Spicy Grilled Filet (Cold),550,32,42,28
90,Grilled Market Salad w/ Chick-fil-A Chick-n-Strips®,740,43,56,36
91,Grilled Market Salad w/ Nuggets,690,41,51,34
92,Grilled Market Salad w/ Grilled Nuggets,570,32,41,32
93,Grilled Market Salad w/ Chick-fil-A® Filet,690,41,52,31
94,Grilled Market Salad w/ Spicy Filet,710,42,56,30
95,Grilled Market Salad w/ Grilled Filet (Warm),540,31,41,28
96,Grilled Market Salad w/ No Chicken,440,29,40,7
97,Chick-fil-A Waffle Potato Fries®,420,24,45,5
98,Side Salad,470,42,16,7
99,Mac & Cheese,450,29,28,20
100,Chicken Noodle Soup,145,3.5,21,9
101,Chicken Tortilla Soup,340,10,38,23
102,Kale Crunch Side,120,9,8,3
103,Waffle Potato Chips,220,13,25,3
104,Buddy Fruits® Apple Sauce,45,0,12,0
105,Small Chick-fil-A Waffle Potato Fries®,320,19,35,4
106,Medium Chick-fil-A Waffle Potato Fries®,420,24,45,5
107,Large Chick-fil-A Waffle Potato Fries®,600,35,65,7
108,Small Mac & Cheese,270,17,17,12
109,Medium Mac & Cheese,450,29,28,20
110,Cup of Chicken Noodle Soup,145,3.5,21,9
111,Bowl of Chicken Noodle Soup,255,5.5,34,16
112,Cup of Chicken Tortilla Soup,340,10,38,23
113,Bowl of Chicken Tortilla Soup,580,16,65,44
114,Chick-fil-A® Nuggets Kid's Meal,160,7,7,17
115,Chick-fil-A Chick-n-Strips® Kid's Meal,200,9,11,19
116,Grilled Nuggets Kid's Meal,80,2,1,16
117,5 Ct Nuggets Kid's Meal,160,7,7,17
118,2 Ct Chick-n-Strips® Kid's Meal,200,9,11,19
119,5 Ct Grilled Nuggets Kid's Meal,80,2,1,16
120,Frosted Lemonade,330,6,65,6
121,Frosted Coffee,250,6,43,6
122,Chocolate Chunk Cookie,370,17,49,5
123,Chocolate Fudge Brownie,380,21,48,4
124,Cookies & Cream Milkshake,630,25,90,13
125,Chocolate Milkshake,590,22,90,12
126,Strawberry Milkshake,570,19,93,11
127,Vanilla Milkshake,580,23,82,13
128,Icedream® Cone,180,4,32,4
129,Icedream® Cup,140,3.5,24,4
130,Frosted Lemonade w/ Diet Lemonade,250,6,46,6
131,6 pack Chocolate Chunk Cookie,370,17,49,5
132,6 ct Heart-Shaped Tray,2220,104,294,28
133,12 Halves Heart-Shaped Tray,2250,123,286,24
134,Chick-fil-A® Icedream® Cone,180,4,32,4
135,Chick-fil-A® Icedream® Cup,140,3.5,24,4
136,Freshly-Brewed Iced Tea Sweetened,120,0,31,0
137,Freshly-Brewed Iced Tea Unsweetened,0,0,0,0
138,Chick-fil-A® Lemonade,220,0,58,0
139,Chick-fil-A® Diet Lemonade,50,0,14,0
140,"Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade)",160,0,44,0
141,"Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade)",90,0,25,0
142,"Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade)",90,0,25,0
143,"Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade)",20,0,6,0
144,Iced Coffee,150,2.5,30,5
145,Coca-Cola®,140,0,39,0
146,Dr Pepper®,180,0,48,0
147,DASANI® Bottled Water,0,0,0,0
148,Honest Kids® Apple Juice,35,0,9,0
149,Simply Orange®,160,0,34,2
150,1% Chocolate Milk,140,2,23,7
151,1% Milk,90,2,10,7
152,Coffee,0,0,0,0
153,Gallon Beverages,2090,1.5,549,2
154,5 lb Bag of Ice,0,0,0,0
155,Small Freshly-Brewed Iced Tea Sweetened,70,0,19,0
156,Medium Freshly-Brewed Iced Tea Sweetened,120,0,31,0
157,Large Freshly-Brewed Iced Tea Sweetened,170,0,43,0
158,Small Freshly-Brewed Iced Tea Unsweetened,0,0,0,0
159,Medium Freshly-Brewed Iced Tea Unsweetened,0,0,0,0
160,Large Freshly-Brewed Iced Tea Unsweetened,0,0,0,0
161,Small Chick-fil-A® Lemonade,130,0,33,0
162,Medium Chick-fil-A® Lemonade,220,0,58,0
